gamma_mult_hog,gamma_mult_col,gamma_mult_lbp,lam,acc,std
1.0,2.0,3.0,0.001,0.5563260792498357,0.009440945713375963
1.25,1.5,4.0,0.0005,0.556013335161159,0.016811372407846036
1.0,1.0,4.0,0.0001,0.555674430931617,0.011945131618035258
1.25,2.0,3.0,0.001,0.5556721697290662,0.012015077246325367
0.75,1.5,4.0,0.001,0.555650035709286,0.01583815994068866
0.75,1.5,4.0,0.0001,0.5553534224711978,0.01811164584849797
0.75,1.0,4.0,0.0005,0.55501389332943,0.013996012584869032
1.25,1.0,3.0,0.001,0.5546732813164679,0.018721700293082948
1.0,2.0,4.0,0.0005,0.5543249126428026,0.012076402144241466
1.25,2.0,4.0,0.0005,0.5539904924933139,0.015296173444863262
1.0,1.0,4.0,0.0005,0.553663827891507,0.014140700783220632
0.75,1.0,4.0,0.0001,0.5533477500430869,0.01767643264270363
0.75,2.0,4.0,0.0005,0.5533405353744913,0.013089625402825853
0.75,2.0,3.0,0.001,0.5533155038129117,0.009978245898262895
1.25,1.5,2.0,0.001,0.5530149381728767,0.019890264302859048
1.25,1.0,4.0,0.0001,0.553006551442947,0.015627229684099703
1.0,2.0,2.0,0.001,0.5526743147328916,0.0205536872270928
1.0,1.5,4.0,0.001,0.5526660337771258,0.018280031968493798
0.75,2.0,2.0,0.001,0.5523437972332793,0.019820655696624848
0.75,1.0,4.0,0.001,0.5513293686012494,0.014538423441799802
1.25,1.0,2.0,0.001,0.5510232079989202,0.021909933410239425
1.0,1.0,4.0,0.001,0.550003162663572,0.019164304398505985
1.25,2.0,2.0,0.0005,0.5499959874330459,0.020253244614624653
1.25,2.0,4.0,0.001,0.5499892535774646,0.016352360798945705
1.25,1.5,4.0,0.001,0.549331026929899,0.013714776437019608
1.25,1.0,4.0,0.0005,0.5489965290172932,0.018386006418716884
1.0,2.0,4.0,0.001,0.5486630973918578,0.01750618834739264
0.75,2.0,4.0,0.001,0.547998667453796,0.014447682509774278
1.25,2.0,2.0,0.001,0.5449903148943749,0.019020559926246308
1.25,1.0,4.0,0.001,0.5433247799362341,0.02243123772635468
